epoch,train_loss,val_dice_fg,class_1,class_2,class_3,lr,n_params,best,timestamp_utc
1,0.836330,0.371621,0.212090,0.425466,0.477308,9.99013364e-04,601985,0.371621,2026-09-08T06:31:45.003701+00:00
2,0.544315,0.363990,0.203669,0.359378,0.528924,9.96057351e-04,601985,0.371621,2026-09-08T06:36:02.221386+00:00
3,0.520737,0.427431,0.165713,0.579456,0.537123,9.91143625e-04,601985,0.427431,2026-09-08T06:40:18.270640+00:00
4,0.475267,0.495097,0.262237,0.621639,0.601416,9.84291581e-04,601985,0.495097,2026-09-08T06:44:38.259506+00:00
5,0.464496,0.495302,0.260369,0.646075,0.579461,9.75528258e-04,601985,0.495302,2026-09-08T06:48:55.535621+00:00
6,0.474230,0.504177,0.280466,0.645842,0.586223,9.64888243e-04,601985,0.504177,2026-09-08T06:53:11.923560+00:00
7,0.465475,0.532793,0.301144,0.639200,0.658036,9.52413526e-04,601985,0.532793,2026-09-08T06:57:26.183710+00:00
8,0.455362,0.536008,0.295392,0.663409,0.649224,9.38153340e-04,601985,0.536008,2026-09-08T07:01:41.047790+00:00
9,0.452595,0.529380,0.300268,0.642590,0.645283,9.22163963e-04,601985,0.536008,2026-09-08T07:05:58.222713+00:00
10,0.435739,0.556433,0.341926,0.659137,0.668237,9.04508497e-04,601985,0.556433,2026-09-08T07:10:12.532413+00:00
11,0.429136,0.562016,0.362627,0.655121,0.668298,8.85256621e-04,601985,0.562016,2026-09-08T07:14:25.178653+00:00
12,0.434342,0.539625,0.370027,0.659039,0.589808,8.64484314e-04,601985,0.562016,2026-09-08T07:18:36.860866+00:00
13,0.419328,0.576510,0.374647,0.680881,0.674001,8.42273553e-04,601985,0.576510,2026-09-08T07:22:52.755771+00:00
14,0.452004,0.541181,0.339480,0.608351,0.675712,8.18711995e-04,601985,0.576510,2026-09-08T07:27:08.707884+00:00
15,0.430661,0.579336,0.352223,0.682151,0.703635,7.93892626e-04,601985,0.579336,2026-09-08T07:31:22.050257+00:00
16,0.407659,0.585388,0.407867,0.678919,0.669378,7.67913397e-04,601985,0.585388,2026-09-08T07:35:39.445377+00:00
17,0.410992,0.594729,0.404873,0.680624,0.698690,7.40876837e-04,601985,0.594729,2026-09-08T07:39:55.809697+00:00
18,0.412282,0.598761,0.414937,0.699564,0.681783,7.12889646e-04,601985,0.598761,2026-09-08T07:44:13.044823+00:00
19,0.372697,0.625769,0.472173,0.701183,0.703950,6.84062276e-04,601985,0.625769,2026-09-08T07:48:28.898867+00:00
20,0.405029,0.609596,0.447311,0.682145,0.699330,6.54508497e-04,601985,0.625769,2026-09-08T07:52:45.209158+00:00
21,0.383266,0.649783,0.498814,0.717574,0.732962,6.24344944e-04,601985,0.649783,2026-09-08T07:57:01.935979+00:00
22,0.368813,0.612693,0.487815,0.647673,0.702591,5.93690657e-04,601985,0.649783,2026-09-08T08:01:17.972954+00:00
23,0.370814,0.604584,0.452332,0.675294,0.686125,5.62666617e-04,601985,0.649783,2026-09-08T08:05:33.353787+00:00
24,0.366834,0.598181,0.484466,0.643700,0.666376,5.31395260e-04,601985,0.649783,2026-09-08T08:09:48.778289+00:00
25,0.391396,0.649369,0.519771,0.716841,0.711495,5.00000000e-04,601985,0.649783,2026-09-08T08:14:04.690984+00:00
26,0.355839,0.661479,0.541710,0.730357,0.712371,4.68604740e-04,601985,0.661479,2026-09-08T08:18:20.563485+00:00
27,0.371879,0.663806,0.532961,0.724027,0.734432,4.37333383e-04,601985,0.663806,2026-09-08T08:22:35.737756+00:00
28,0.374773,0.669856,0.531759,0.736798,0.741009,4.06309343e-04,601985,0.669856,2026-09-08T08:26:50.046955+00:00
29,0.353874,0.665305,0.532076,0.727462,0.736375,3.75655056e-04,601985,0.669856,2026-09-08T08:31:06.446430+00:00
30,0.374785,0.663593,0.544967,0.721566,0.724245,3.45491503e-04,601985,0.669856,2026-09-08T08:35:20.943594+00:00
31,0.355768,0.691048,0.584435,0.739662,0.749049,3.15937724e-04,601985,0.691048,2026-09-08T08:39:35.825909+00:00
